Naam,Website,Plaats,Adres,Postcode,Lid sinds,Sectoren,Regios,Marktgroepen,status,score,pos,neg,signalen
B2B opleidingen B.V.,www.b2b-opleidingen.nl,Helmond,Basstraat 48,5702 SH,2026-06-03,"Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg; (Zakelijke) dienstverlening; Agrarisch en groen; Autobranche; Beveiliging; Coaching; Cultuur, sport en recreatie; Cybersecurity; Economisch- administratief; EVC; Exameninstituten; Financiële dienstverlening; Groothandel; Industrie – Techniek; IT; Klantcontact; Klimaat; Laaggeletterdheid; Learning & Development; Leiderschap; Online leren; Overheid; Persoonlijke effectiviteit; Schoonmaak; Sociaal werk, jeugdzorg en kinderopvang; Talen - NT2; Thuis zorgverpleging en/of medisch en/of alternatieve zorg; Transport en logistiek",Drenthe; Flevoland; Groningen; Overijssel; Zeeland,Marktgroep Learning & Development; Marktgroep VCA en SOG; Opleiders actief in de techniek,ok,-5,0,5,-\bvca\b -incompany training(?!s?pro
Continue Services VOF,https://www.continue-ct.nl,Schimmert,Nieuwstraat 11B,6333AN,2022-05-03,,,,ok,-5,2,7,+diploma -\bbhv\b -eendaagse|1-?daagse|tweeda
E-WISE/CME-online v.o.f.,www.cme-online.nl,UTRECHT,Janssoniuslaan 40,3528 AJ,2014-08-05,,,,ok,-5,0,5,-certificaat van deelname|b
ITPH Academy GBO B.V.,https://itph-academy.nl/,'t HARDE,Koekoeksweg 3,8084 GN ,2024-02-12,,,,ok,-5,0,5,-certificaat van deelname|b
NIPA Opleidingen,www.nipaopleidingen.nl,ASTEN,Ommelseweg 48,5721 WV,2016-01-04,,,,ok,-5,2,7,+diploma -\bbhv\b -ehbo
Zorg & Werk Academy,www.zorgenwerk.nl,EDE,Galvanistraat 1,6716 AE,2014-04-14,,,,ok,-5,0,5,-certificaat van deelname|b
EduCenter Opleidingen,www.educenteropleidingen.nl,WOUDENBERG,Voskuilerweg 49b,3931 MV,2013-10-10,,,,ok,-6,2,8,+diploma -\bvca\b -\bbhv\b
Kenniscentrum Noodverlichting,https://kenniscentrum.famostar.nl/,VELP,Florijnweg 8,6883 JP,2020-03-10,,,,ok,-6,2,8,+studiebelasting -certificaat van deelname|b -eendaagse|1-?daagse|tweeda
PlusPort ,www.plusport.com,ZOETERMEER,Louis Braillelaan 80,2719 EK,2016-04-26,,,,ok,-6,2,8,+diploma -\bvca\b -\bbhv\b
Stichting Volandis,www.volandis.nl,HARDERWIJK,Ceintuurbaan 2-100a,3847 LG ,2019-02-06,,,,ok,-6,2,8,+diploma -\bvca\b -heftruck|hoogwerker|rijbew
AutoNiveau BV,www.autoniveau.nl,NIEUWEGEIN,Structuurbaan 2,3439 MB,2022-03-14,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-7,7,14,+praktijkopdracht +toetsing -certificaat van deelname|b -eendaagse|1-?daagse|tweeda -het oranje kruis|certech|i
BLOM opleidingen,www.blomopleidingen.nl,Hengelo,Adam Smithstraat 41,7559 SW,2020-09-30,"Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg; (Zakelijke) dienstverlening; Agrarisch en groen; Autobranche; Beveiliging; Coaching; Cultuur, sport en recreatie; Cybersecurity; Economisch- administratief; EVC; Exameninstituten; Financiële dienstverlening; Groothandel; Industrie – Techniek; IT; Klantcontact; Klimaat; Laaggeletterdheid; Learning & Development; Leiderschap; Online leren; Overheid; Persoonlijke effectiviteit; Schoonmaak; Sociaal werk, jeugdzorg en kinderopvang; Talen - NT2; Thuis zorgverpleging en/of medisch en/of alternatieve zorg; Transport en logistiek",Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-7,8,15,+beoordelingsformulier +beoordeling +diploma -\bvca\b -\bbhv\b -eendaagse|1-?daagse|tweeda -heftruck|hoogwerker|rijbew
OBA Opleidingen Bemiddeling Advies B.V.,www.obabv.com,Rotterdam,Van Helmontstraat 5,3029 AA ,2022-03-14,,,,ok,-7,8,15,+crkbo +beoordeling +herkansing +diploma -\bvca\b -\bbhv\b -ehbo -heftruck|hoogwerker|rijbew
Ponsioen Opleiding en Advies BV,www.ponsioen.biz,Helmond ,Lagedijk 6,5705 BZ ,2022-11-23,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-7,0,7,-\bvca\b -bedrijfshulpverlening
"Stichting VAM, Opleidingsinstituut voor het Motorvoertuig-, Tweewieler- en Aanverwant Bedr",www.innovam.nl,NIEUWEGEIN,Structuurbaan 2,3439 MB,2022-03-14,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-7,2,9,+beoordeling -\bbhv\b -certificaat van deelname|b
Technisch Opleidingscentrum Zuid BV,www.technischopleidingscentrumzuid.nl,Kelpen-Oler,Ellerweg 17,6037 RR,2023-03-30,,,,ok,-8,0,8,-\bvca\b -\bbhv\b
Construction Media B.V.,www.constructionmedia.nl,Waalre,Van Dijklaan 5,5581 WG,2016-05-18,,,,ok,-9,2,11,+diploma -\bvca\b -\bbhv\b -eendaagse|1-?daagse|tweeda
Cumela opleiding & training,www.cumela.nl,Nijkerk,Nijverheidsstraat 13,3861RJ,2021-11-29,,,,ok,-9,2,11,+diploma -\bbhv\b -ehbo -bedrijfshulpverlening -incompany training(?!s?pro
Groene Veluwe b.v.,www.groeneveluwe.nl,Epe,Tongerenseweg 116,8162 PP,2023-01-02,,,,ok,-9,0,9,-\bvca\b -heftruck|hoogwerker|rijbew -incompany training(?!s?pro
Huisdier Kennis Instituut,www.huisdierkennis.nl,Bunnik,Regulierenring 11,3981 LA,2010-04-29,,,,ok,-9,1,10,+crkbo -\bbhv\b -ehbo -bedrijfshulpverlening
Ingenium B.V.,https://de-opleider.nl,Hengelo,Jan Tinbergenstraat 218,7559 ST,2025-04-15,,,,ok,-9,2,11,+eindtoets -\bvca\b -ehbo -heftruck|hoogwerker|rijbew
Match-it,www.match-it.info,Markelo,Plasdijk 2B,7475 TD,2021-01-01,,,,ok,-9,0,9,-eendaagse|1-?daagse|tweeda -het oranje kruis|certech|i
SBK Opleidingen,www.SBKadvies.nl,ZWOLLE,Obrechtstraat 28,8031 AZ,2012-05-22,,,,ok,-9,5,14,+eindtoets +herkansing -\bvca\b -\bbhv\b -certificaat van deelname|b -incompany training(?!s?pro
Beroepsstudie.nl,www.beroepsstudie.nl,Delft,Kleveringweg 23,2616 LZ,2023-03-27,,,,ok,-10,4,14,+beoordeling +diploma -\bvca\b -het oranje kruis|certech|i -heftruck|hoogwerker|rijbew
Nuvrachtwagen,www.nuvrachtwagen.nl,RIJSWIJK,"Verrijn Stuartlaan, 22",2288EL,2022-03-28,,,,ok,-10,0,10,-het oranje kruis|certech|i -heftruck|hoogwerker|rijbew
Peinemann Training Center B.V.,https://www.peinemann.nl/training-center/,ROTTERDAM,Breevaartstraat 12,3044 AH,2017-09-27,,,,ok,-10,0,10,-het oranje kruis|certech|i -heftruck|hoogwerker|rijbew
ROVC Technische Opleidingen B.V.,www.rovc.nl,EDE,Galvanistraat 13,6716 AE,2018-01-01,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-10,0,10,-\bvca\b -het oranje kruis|certech|i
Vaarbewijsopleidingen (VBO),www.watersportcursussen.nl,Dongen,De Slof 10 J,5107 RJ,2014-08-05,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-10,0,10,-\bbhv\b -het oranje kruis|certech|i
Dräger Nederland BV,www.draeger-academy.nl,ZOETERMEER,Huygensstraat 3,2721 LT,2016-07-01,,,,ok,-11,0,11,-\bvca\b -\bbhv\b -eendaagse|1-?daagse|tweeda
Edu4u,www.edu4u.nl,Amsterdam,Asingaborg 82,1082 SK,2022-02-04,,,,ok,-11,4,15,+studiebelasting +diploma -certificaat van deelname|b -het oranje kruis|certech|i -heftruck|hoogwerker|rijbew
Examenadviesburo B.V.,https://www.examenadviesburo.nl,Nieuwegein,Fultonbaan 80,3439 NE,2021-05-03,,,,ok,-11,0,11,-het oranje kruis|certech|i -exameninstituut|extern exa
Insignia Training en Projecten b.v. (handelsnaam Perspective Opleidingen),https://perspective-opleidingen.nl/,Ridderkerk,Florijnstraat 4A,2988 CL,2021-03-26,,,,ok,-11,0,11,-\bvca\b -\bbhv\b -ehbo
TCC,www.training-cursuscentrum.nl,ROTTERDAM,Driemanssteeweg 56,3084 CB,2013-05-01,,,,ok,-11,0,11,-\bvca\b -ehbo -heftruck|hoogwerker|rijbew
Adviesbureau Kap,www.kap-opleidingen.nl,WERKENDAM,Ferrandstraat 7,4251 LL,2012-12-05,,,,ok,-13,2,15,+diploma -\bvca\b -\bbhv\b -bedrijfshulpverlening -heftruck|hoogwerker|rijbew
BTR Trainingen,www.btrtrainingen.nl,Hengelo,Demmersweg 110,7556 BN,2022-03-22,,,,ok,-13,2,15,+meerdaagse leergang|leerga -\bvca\b -\bbhv\b -bedrijfshulpverlening -heftruck|hoogwerker|rijbew
Kenniscentrum veiligheid 365,www.veiligheid365.nl,Breda,Charles Petitweg 11A,4827 HJ,2021-11-01,,,,ok,-13,2,15,+diploma -\bvca\b -\bbhv\b -ehbo -heftruck|hoogwerker|rijbew
Trafieq Educatie en advies ,www.trafieq.nl,Zeist,Bergweg 173a,3707 AC,2021-10-19,,,,ok,-13,0,13,-eendaagse|1-?daagse|tweeda -het oranje kruis|certech|i -heftruck|hoogwerker|rijbew
Bouwradius Training & Advies B.V.,www.bouwradius.nl,Hazerswoude-Dorp,Engelandleaan 74,2391PN,2022-03-22,,,,ok,-14,7,21,+examinator +diploma -\bvca\b -\bbhv\b -ehbo -bedrijfshulpverlening -eendaagse|1-?daagse|tweeda -heftruck|hoogwerker|rijbew
Vervoerscollege Venlo BV,www.vervoerscollegevenlo.nl,VENLO,Vasco da Gamaweg 1,5928 LD,2018-03-25,,,,ok,-14,4,18,+portfolio +diploma -\bvca\b -\bbhv\b -het oranje kruis|certech|i -heftruck|hoogwerker|rijbew
Thinq Academy b.v.,www.thinqacademy.nl,Tilburg,Heraclesstraat 6,5048 CG,2022-02-11,,,,ok,-15,0,15,-\bvca\b -\bbhv\b -ehbo -heftruck|hoogwerker|rijbew
Van Wees Opleidingen,www.vanweesopleidingen.nl,Uitgeest,Molenwerf 21L,1911 DB,2022-04-04,,,,ok,-15,0,15,-\bvca\b -\bbhv\b -ehbo -heftruck|hoogwerker|rijbew
Koops NOVL Beroepsopleidingen ,www.koopsvec.nl,Assen,Van Vlissingenstraat 45a,9403BB,2012-03-05,,,,ok,-16,2,18,+diploma -\bvca\b -\bbhv\b -ehbo -bedrijfshulpverlening -heftruck|hoogwerker|rijbew
LOC Logistiek OpleidingsCentrum bv,www.locb.nl,Etten- Leur,Hoevenseweg 39-d,4877 LA,2022-03-14,,,,ok,-16,2,18,+beoordeling -\bvca\b -\bbhv\b -ehbo -eendaagse|1-?daagse|tweeda -heftruck|hoogwerker|rijbew
EDUQ Opleidingen,www.eduq.nl,Haarlem,Waarderweg 19 ,2031 BN,2021-11-02,,,,ok,-18,0,18,-\bvca\b -\bbhv\b -ehbo -eendaagse|1-?daagse|tweeda -heftruck|hoogwerker|rijbew
Özel opleidingen,www.ozelopleidingen.nl,Rotterdam,Vlaardingweg 36,3044 CK,2021-08-25,,,,ok,-18,4,22,+beoordeling +diploma -\bvca\b -\bbhv\b -ehbo -het oranje kruis|certech|i -heftruck|hoogwerker|rijbew -incompany training(?!s?pro
Zpits,www.zpits.nl,Rotterdam,Rotterdam Airportplein 55,3045 AP,2021-10-01,,,,ok,-19,2,21,+diploma -\bvca\b -\bbhv\b -eendaagse|1-?daagse|tweeda -exameninstituut|extern exa -heftruck|hoogwerker|rijbew -incompany training(?!s?pro
ML Opleidingen,www.ml-opleidingen.nl,Naaldwijk,Buys Ballotstraat 3 BU2,2693 BD,2026-03-09,,,,ok,-24,0,24,-\bvca\b -\bbhv\b -ehbo -bedrijfshulpverlening -het oranje kruis|certech|i -heftruck|hoogwerker|rijbew
Scaves,www.scaves.nl,SCHOONEBEEK,Wendakker 5,7761 PX,2013-04-23,,,,ok,-25,0,25,-\bvca\b -\bbhv\b -ehbo -bedrijfshulpverlening -het oranje kruis|certech|i -heftruck|hoogwerker|rijbew -incompany training(?!s?pro
Academie voor Leefstijl en Gezondheid,www.avleg.nl,Ede,"HNK - Horapark, Bennekomseweg 41",6717 LL,2022-04-04,,,,fout: URLError,,,,
AVS Professionalisering,www.avs.nl/academie,UTRECHT,Herenstraat 35,3512 KB,2011-03-10,,,,fout: HTTPError,,,,
Brain Balance Opleidingen BV,https://brainbalanceinstituut.com/,Rotterdam ,Theodoor Colenbranderhof 3,3059 LS ,2022-11-23,,,,fout: HTTPError,,,,
Calibris Advies,htpps://www.calibrisadvies.nl,HOUTEN,De Molen 88,3995 AX,2015-11-19,,,,fout: URLError,,,,
Capricorn Taallessen en Vertalingen,Https://capricorntaallessen.com,Rotterdam,Tapuitstraat 5b,3083 WC,2026-06-17,,,,fout: URLError,,,,
CCB B.V. (Samenvoeging BIJDA en Cursuscentrum Groen),www.ccb.nl,Arnhem,Otterloseweg 2D2,6816 TJ,2021-09-14,,,,fout: URLError,,,,
Coöperatie Scillz UA,http://www.scillz.nl/contact.html,ZEIST,Socrateslaan 22,3707 GL,2017-04-10,,,,fout: HTTPError,,,,
de Werff,www.dewerff.net,Ruurlo,Christinalaan 1,7261CB,2022-01-10,,,,fout: HTTPError,,,,
DELTA Safety Training,www.deltasafetytrainingen.com,Rotterdam,Geyssendorfferweg 47,3088 GJ,2021-11-02,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,fout: URLError,,,,
Drone Flight Academy B.V.,www.droneflightacademy.eu,Katwijk,Wassenaarseweg 75,2223 LA,2022-03-28,,,,fout: URLError,,,,
Dutch Dental Academy,https://dutchdentalacademy.nl,Gorinchem,Arkelseo Onderweg 61,4206 AG,2024-11-18,,,,fout: HTTPError,,,,
DWM Trainingen,www.dwmtrainingen.nl,Wemeldinge,Dorpsstraat 38,4424 CX,2021-11-02,,,,fout: URLError,,,,
Essenzo Business School,www.essenzo.nu,GOUDA,Burg. V. Reenensingel 101,2803 PA,2018-02-26,,,,fout: HTTPError,,,,
Firda voor Volwassenen B.V.,www.firda.nl/volwassenenonderwijs,Leeuwarden,De Eenhoorn 4,8932 NX,2022-02-07,,,,fout: HTTPError,,,,
FP&P Onderhandelen BV,www.onderhandelen.fpnp.nl,Driebergen- Rijsenburg,Hoofdstraat 71,3971 KD,2023-01-02,,,,fout: URLError,,,,
GITP Training & Opleiding BV,www.gitp-ontwikkeling.nl ,Utrecht ,Postbus 2182,3500 GD,2021-09-23,,,,fout: URLError,,,,
Global Education Services Netherlands BV,www.uibs.org,AMSTERDAM,Weteringschans 28,1017 SG ,2015-12-28,,,,fout: HTTPError,,,,
Globi,https:// globi.nl,Utrecht,Maliebaan 92,3581 CX,2023-03-01,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,fout: URLError,,,,
Instituut CAM,www.instituut-cam.nl,Warffum,Westervalge 24,9989 EB,2016-01-04,,,,fout: HTTPError,,,,
Instituut voor Wijsbegeerte (handelsnaam ISVW),www.isvw.nl,LEUSDEN,Dodeweg 8,3832 RD,2010-11-16,,,,fout: HTTPError,,,,
Interbeek Support BV,Https://interbeeksupport.nl,Eibergen,Grotestraat 52,7151 BD,2025-04-15,,,,fout: URLError,,,,
IT Management Group BV ,www.itmg.nl,Den Haag,Lange Vijverberg 4-5,2513 AC,2020-12-02,,,,fout: HTTPError,,,,
Kyden BV,www.kyden.nl,Hilversum,Oude Amersfoortseweg 125,1212 AA,2024-09-01,,,,fout: URLError,,,,
Lean Six Sigma College,www.theleansixcompany.nl,Rotterdam,Van Nelleweg 1,3044 BC,2023-11-01,,,,fout: URLError,,,,
Lean Six Sigma Partners B.V.,www.leansixpartners.nl,Soesterberg,Rademakerstraat 22,3769 BD,2022-08-31,,,,fout: URLError,,,,
Marlijn Academie,www.marlijnacacdemie.nl ,LANGEWEG,De Langeweg 22,4771 RB,2018-02-19,,,,fout: URLError,,,,
Open2Contact,www.open2contact.nl,SOEST,Zuidergracht 21-Unit 31,3763 LS,2018-07-09,,,,fout: HTTPError,,,,
Ovidius Werk,www.ovidiuswerk.nl,Zeist,Van Renesselaan 25,3703 AE,2022-10-24,,,,fout: HTTPError,,,,
Passionned Nederland BV,www.passopnned.nl/academy,Amersfoort ,Utrechtseweg 225,3818 EG ,2022-11-23,,,,fout: URLError,,,,
Plata Opleidingen,www.platafoundation.nl,Leiden,Oude Vest 9,2312 XP,2019-10-03,,,,fout: URLError,,,,
Pro Audio Education NL B.V.,https://www.proaudioeducation.nl,Amstelveen,Uilenstede 354,1183 DB,2023-05-09,,,,fout: HTTPError,,,,
School voor Communicatie ,www.intoacademy.nl,Bunschoten ,De Kronkels 5A,3752 LM,2022-05-25,,,,fout: HTTPError,,,,
SkillValley,https:// www.skillvalley.nl,Elsloo,Business Park Stein 108,6181 MA,2025-03-13,,,,fout: URLError,,,,
Soofos,https://soofos.nl,Hattem,Hommelbrink 6,8051 PV,2021-11-29,,,,fout: HTTPError,,,,
Stg. SOMA Bedrijfsopleidingen,www.somabedrijfsopleidingen.nl,Harderwijk,Ceintuurbaan 2,3847 LG ,2020-12-03,,,,fout: URLError,,,,
Stichting Calidus (vh ZW Opleidingen),www.calidus.nl,Hoorn,Dampten 28,1624 NR,2020-10-01,,,,fout: HTTPError,,,,
Stichting eX:plain,www.explain.nl,Amersfoort ,Disketteweg 6,3821 AR,2022-08-31,,,,fout: URLError,,,,
Stichting Examens Uitzendbranche (SEU),www.seu.nl,AMERSFOORT,Disketteweg 6,3821 AR,2017-02-17,,,,fout: URLError,,,,
The Lean Six Sigma Company,www.theleansixcompany.nl,Rotterdan,Van Nelleweg 1,3944 BC,2023-11-01,,,,fout: URLError,,,,
The Wine & Food Academy BV,https://thewineacademy.nl/,Zeist ,Steynlaan 44,3701 EH ,2022-03-22,,,,fout: HTTPError,,,,
Tim Koldenhof Producties B.V.,www.denederlandseacteurschool.nl,Apeldoorn,Vlijtseweg 140,7317 AK,2022-05-30,,,,fout: URLError,,,,
TopTaal in het Bedrijf,www.taalinhetbedrijf.nl,AMSTERDAM,Zekeringstraat 44,1014 BT,2014-02-07,,,,fout: URLError,,,,
V&B consulting,https://4dlean.nl,Barendrecht,Meerwedesingel 6,2993 TG,2023-04-28,,,,fout: URLError,,,,
Vinova Opleidingen B.V.,www.vinova.nl,Beugen,Zuster Bloemstraat 20,5835 DW,2025-07-24,,,,fout: URLError,,,,
Vlokhoven Opleidingen,http://www.vlokhovenopleidingen.nl,Breda,Charles Petitweg 7A 5,4827HJ,2025-12-11,,,,fout: URLError,,,,
HaKa HBO B.V.,,Groot-Ammers,Schoonhovenseveer 19,2964 GB,2024-07-16,,,,geen website,,,,
Haka MBO B.V.,,Groot- ammers,Schoonhovense veer 19,2964 GB ,2021-09-21,,,,geen website,,,,
HaKa Nederland B.V.,,Sliedrecht,Stationspark 827,3364 DA,2018-08-15,,,,geen website,,,,
IW Achterhoek Rivierenland ,,Didam,Bieslook 24,6942 SG,2022-03-24,,,,geen website,,,,
Learnit BV,,Amsterdam,Piet Heinkade 1,1019 BR,2021-05-03,,,,geen website,,,,
Pastoor BV,,Nijmegen,Kerkenbos 1103-D,6546 BC,2021-09-23,,,,geen website,,,,
soba,,,,,2026-01-07,,,,geen website,,,,
Test CCI 13-12-2022,,,,,2025-12-23,,,,geen website,,,,
XL10 ,,HENGELO,Welbergweg 92,7556 PE,2022-02-01,,,,geen website,,,,
