Aanbieder,Beoordeelt zelf werk van lerenden,Bewijs (citaat + bron),Particulier,Bron particulier,Moeder / groep,Categorie
IPD Opleidingen,Onbekend,"Praktijkopleidingen vastgoed/taxatie/ecologie met ""examengarantie"" en verwijzing naar RICS/NRVT/KIWA — https://www.ipd-opleidingen.nl/ ; wie examineert is niet gedocumenteerd, vastgoedexamens lopen in de branche doorgaans via SVMNIVO (extern)",Ja,NRTO-lid,Zelfstandig,"Vastgoed/taxatie-opleider; vermoedelijk externe examinering (SVMNIVO), eerst citaat zoeken of bellen"
Vitalogisch,Onbekend,Opleidingen tot leefstijlcoach en vitaliteitscoach (o.a. via NL Leert Door) — https://vitalogisch.nl/nl-leert-door/opleiding-tot-leefstijlcoach-nl-leert-door/ ; duur en beoordelaar niet gedocumenteerd op eerste zoekronde,Ja,NRTO-lid,Zelfstandig,Leefstijl/vitaliteitscoach-opleider; beoordelaar niet vindbaar
Dental Best Practice,Ja,"Opleiding tandartsassistent: ""De basisopleiding duurt ongeveer 1 jaar en bestaat uit 13 praktijkdagen"" met online leeromgeving met ""theorie, aangevuld met opdrachten en toetsen"", portfolio en huiswerk; diploma ""bij het positief afronden van de opleiding"", geen externe examinerende partij genoemd — https://www.dentalbestpractice.nl/opleiding-tandartsassistent/",Ja,NRTO-lid,Zelfstandig,"Branche-opleiding tandartsassistenten (1 jaar, 18 modules); eigen opdrachten/toetsen/portfolio"
Avicenna Academie voor Leiderschap,Onbekend,"Langlopende leergangen leiderschap (persoonlijk, strategie & transitie, goed bestuur) — https://www.academievoorleiderschap.nl/ ; of er beoordeeld werk is en wie beoordeelt is niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,Leiderschapsleergangen (zorg/onderwijs/publiek); beoordelaar niet vindbaar
De Berekuyl Academy,Onbekend,"Post-hbo oedeemfysiotherapie, basiscursus 18 contactdagen + MSc-traject lymfologie — https://deberekuylacademy.nl/oedeemfysiotherapie/ ; wie toetst/beoordeelt is niet gedocumenteerd (site blokkeert crawlers)",Ja,NRTO-lid,Zelfstandig,Post-hbo fysiotherapie (oedeem/oncologie); beoordelaar niet vindbaar - site handmatig checken of bellen
CBT (Resultaat uit Opleiden),Onbekend,"""Bekijk onze erkende mbo-opleidingen voor operators"" — https://www.cbtresultaatuitopleiden.nl/ ; industrieel opleider sinds 1994, maar wie de mbo-examens afneemt/beoordeelt is niet gedocumenteerd en CBT staat niet als eigen erkende instelling in het DUO-register",Ja,NRTO-lid,Zelfstandig,Operatoropleidingen industrie (VAPRO-achtig profiel); examinerende partij onduidelijk - uitzoeken of bellen
DOC Nederland,Onbekend,"""De beste opleider van de Achterhoek"" met 100+ opleidingen ""gegeven door vakdocenten uit het werkveld"" — https://www.doc.nl/ ; wie examineert/beoordeelt is niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,Regionale breed-opleider (Doetinchem); beoordelaar niet vindbaar - bellen
Educared,Ja,"""Educared is erkend opleider voor de zorg. Dit betekent dat we erkend zijn door het Ministerie van OCW"" met flexibele examendata en persoonlijke leercoach — https://educared.nl/erkend-leren/erkende-zorgopleidingen",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 31NE); NRTO,Zelfstandig,Particulier rijkserkend mbo zorg (werkend-leren-trajecten voor zorginstellingen)
i4healthcare,Ja,"Erkende mbo-opleidingen Zorg & Welzijn niveau 2-4 (Helpende, Verzorgende IG, Verpleegkunde, Begeleider MZ): ""Alle mbo-opleidingen zijn erkend door het ministerie van OCW"", onderwijs en examens conform het kwalificatiedossier — https://i4healthcare.nl/zorg-en-welzijn-opleidingen/",Ja,"DUO-register: erkende niet-bekostigde mbo-instelling (OIE 32AR); NRTO, CRKBO",Zelfstandig,"Particulier rijkserkend mbo zorg, verkorte maatwerktrajecten"
Flair Scholing (F.L.A.I.R. Scholingstrajecten),Ja,"""De opleiding Doktersassistent is een rijkserkende opleiding met CREBO-nummer 25675"" — https://www.kiesmbo.nl/scholen/flair-scholingstrajecten (+ flairscholing.nl/over-flair/erkenningen/); kleinschalig (max 10 per klas), doktersassistent en medisch secretaresse, Groningen",Ja,"DUO-register: erkende niet-bekostigde mbo-instelling (OIE 31RE); NRTO, CRKBO",Zelfstandig,Particulier rijkserkend mbo medisch-administratief (doktersassistent/medisch secretaresse)
IVIO-Opleidingen,Ja,"Taal-, reken- en basisvaardigheidstrajecten met eigen toetsing door docenten: ""Aan het einde krijg je een toets en, als het goed is, een certificaat of diploma"" en ""De docent houdt goed bij hoe het met je gaat"" — https://ivio-opleidingen.nl/",Ja,NRTO-lid; onderdeel IVIO-groep (met o.a. IVIO-Examenbureau),IVIO-groep,"Basisvaardigheden/educatietrajecten (taal, rekenen, digitale vaardigheden); eigen docentbeoordeling, kanttekening: inburgeringsexamens liggen extern bij DUO"
HaKa Nederland (Ambinex / HaKa MBO),Ja,"Zorgopleider (gehandicaptenzorg, jeugdzorg, ouderenzorg) met ""Flexibele mbo-opleidingen"" en ""derde leerweg mbo-opleidingen"" — https://www.ambinex.nl/ ; HaKa MBO B.V. is een erkende niet-bekostigde mbo-instelling in het DUO-register (OIE 31RL)",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 31RL); NRTO,HaKa Nederland,Particulier rijkserkend mbo zorg (derde leerweg) + EVC; beoordelingsdetail nog verifieren bij outreach
Edupet,Onbekend,Cursussen en vakopleidingen dierenbranche met eigen docenten en een eigen 'Examens'-sectie — https://www.edupet.nl/ ; wie beoordeelt is niet gedocumenteerd,Ja,NRTO-lid,Zelfstandig,"Dierenbranche-opleider; beoordelaar niet vindbaar, klein"
DogVision,Onbekend,"Langlopende modulaire opleidingen (Kynologisch instructeur, Gedragstherapeut bij honden) met individueel begeleide praktijkperiode — https://www.dogvision.nl ; wie examineert/beoordeelt is niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,"Hondengedrag-opleider; beoordelaar niet vindbaar, klein"
Interieuracademie Nederland,Onbekend,Dagopleiding Allround Interieurontwerper en hbo-niveau basisopleiding met portfolio-werk in kleine groepen — https://www.interieuracademie.nl/ ; wie het portfolio beoordeelt is niet gedocumenteerd,Ja,NRTO-lid,Zelfstandig,Interieurontwerp-opleider (Artemis-achtig profiel); beoordelaar niet vindbaar
Icademy,Onbekend,"Aanbod o.a. havo-examentraining en verkoopstyling — https://www.edubookers.com/icademy ; site niet bereikbaar op eerste ronde (429), examinering niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,Onduidelijk profiel; beoordelaar niet vindbaar
Elan Training,Onbekend,"Jobcoach- en loopbaancoachopleidingen op hbo-niveau, ""Hobeon gecertificeerde en NOLOC-erkende opleidingen"" — https://www.elantraining.nl/ ; wie het werk beoordeelt is niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,"Post-hbo jobcoach/loopbaancoach; geaccrediteerd, beoordelaar niet vindbaar"
Weddingplanners International,Onbekend,"""Complete jaaropleiding met klassikale lessen, persoonlijke ondersteuning & diploma"" met praktijkopdrachten en feedback — http://www.theweddingplannersinstitute.com ; wie beoordeelt is niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,"Weddingplanner-jaaropleiding; beoordelaar niet vindbaar, klein"
Laudius,Ja,"""Uw docent corrigeert en beoordeelt uw huiswerk en geeft belangrijke tips."" en ""Bij een gemiddeld resultaat van een 5,5 of hoger voor uw huiswerk kunt u een certificaat aanvragen."" — https://www.laudius.nl/zo-werkt-het ; thuisstudies met persoonlijke docent, huiswerk insturen tot 3 jaar",Ja,"NRTO-lid, groot particulier thuisstudie-instituut",Zelfstandig,Thuisstudies breed (beroep/hobby); structureel docent-nakijkwerk op ingestuurd huiswerk (NHA/LOI-model)
IVS opleidingen,Onbekend,"Massage-, sporttherapie- en voetverzorgingsopleidingen; ""Een groot deel van deze workshops en cursussen is geaccrediteerd door diverse instanties, brancheorganisaties en examenstichtingen."" — https://www.ivsopleidingen.nl/ ; wie examineert is niet gedocumenteerd (pedicure loopt in de branche vaak via TCI, extern)",Ja,NRTO-lid,Zelfstandig,Massage/voetverzorging; examinerende partij onduidelijk
Nationaal Centrum Erfgoedopleidingen,Onbekend,"Restauratie-vakopleidingen met diploma-uitreikingen (""vond de feestelijke diploma-uitreiking plaats aan 17 studenten"") — https://www.erfgoedopleidingen.nl/ ; wie examineert/beoordeelt is niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,Erfgoed/restauratie-vakopleidingen; beoordelaar niet vindbaar
Kjenning,Onbekend,"Leergangen voor woningcorporaties (Leergang Woonconsulent, Leergang Sociale Projectbegeleiding) waarvan sommige examens en beoordeelde opdrachten noemen — https://www.kjenning.nl/ ; wie beoordeelt is niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,Corporatiesector-leergangen; beoordelaar niet vindbaar
RBO / EVC-dienstencentrum,Onbekend,"EVC-aanbieder: ervaringscertificaat is ""een officieel bewijs van vakbekwaamheid, opgesteld door een onafhankelijke partij"" — https://www.rbo.nl/ ; of RBO met eigen assessoren beoordeelt is niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,EVC + arbeidsmarktdiensten Noord-Nederland; assessorenmodel checken (vgl. EVC Centrum Nederland = Ja)
Start2Move,Onbekend,Opleiding Leefstijl- en Vitaliteitscoach — https://www.start2move.nl/opleiding-leefstijl-en-vitaliteitscoach ; duur en beoordelaar niet vast te stellen (pagina laadt afgekapt),Ja,NRTO-lid,Zelfstandig,Leefstijlcoach-opleider; beoordelaar niet vindbaar
W en L Opleidingen,Onbekend,"Site niet leesbaar op eerste ronde (afgekapt) — https://www.wenlopleidingen.nl/ ; profiel vermoedelijk uiterlijke verzorging, examinering onbekend (branche loopt vaak via TCI)",Ja,NRTO-lid,Zelfstandig,Vermoedelijk uiterlijke verzorging; beoordelaar niet vindbaar
Stichting Vakopleiding Techniek,Ja,"Erkende particuliere mbo-instelling (Cuijk, BBL techniek/mechatronica): praktijkopdrachten worden gecontroleerd en afgetekend door vakdocenten, theorie en generieke vakken getoetst in toetsweken per periode — informatieboekje 2024-2025 https://vakopleidingtechniek.nl/wp-content/uploads/2024/11/Informatieboekje_Vakopleiding_Techniek_2024-2025.pdf",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 30PY),Zelfstandig,Particulier rijkserkend mbo techniek (BBL); eigen vakdocenten toetsen
Technicom,Ja,"""landelijk erkende mbo-opleidingen, branche-opleidingen en trainingen"" in procestechniek, maintenance en logistiek, 30 jaar industrieel opleider — https://www.technicom.nl/",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 27VT),Zelfstandig,Particulier rijkserkend mbo industrie/procestechniek (Litop-achtig profiel); let op: MVK-examinering loopt extern (Hobeon)
De Voshaar (Voshaar MBO Outdoorsports & Guiding),Ja,"Eigen erkende mbo Sport & Bewegen sinds 2015: ""De opleiding functioneert zelfstandig en is niet gekoppeld aan een ROC of andere onderwijsinstelling"", afstuderen op mbo-niveau 3 of 4 (BOL) — https://buitensportopleiding.nl/",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 30YA),Zelfstandig,Particulier rijkserkend mbo outdoor/sport (enige complete mbo-buitensportopleiding NL); klein
Stichting De Vakopleiding Afbouw,Onbekend,Niet gevonden wie beoordeelt; geen eigen site/profiel vindbaar in eerste zoekronde. Wel erkende niet-bekostigde mbo-instelling in DUO (OIE 31UR),Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 31UR),Zelfstandig,Afbouwsector mbo; beoordelaar niet vindbaar - bellen
Technisch Opleidingsinstituut (TOI),Onbekend,"TOI Opleidingen verzorgt om- en bijscholing in de technische sector (gelieerd aan Rema Tip Top, banden/schadeherstel) — https://rematiptopholdingbenelux.nl/toi-opleidingen/ ; wie examineert is niet gedocumenteerd, automotive-examinering loopt in de branche vaak extern (IBKI/BOVAG)",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 32AV),Rema Tip Top Holding Benelux,Automotive/banden-techniek; examinerende partij onduidelijk
OptiSec Cyber Security Trainingen,Onbekend,"""Unieke opleidingen van 9 maanden met erkende resultaten"" (eigen ontwikkeld) naast externe certificeringen (EC-Council, ISC2) — https://www.optisec.nl/ ; wie het werk in de 9-maands opleidingen beoordeelt is niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,"Cybersecurity-opleider; eigen 9-maands trajecten, beoordelaar niet vindbaar"
Vers Pers / Open Eyes Institute,Onbekend,"Open Eyes Academy: deeltijdprogramma waarin deelnemers ""vanaf dag een"" publiceren ""onder begeleiding van topjournalisten"" — https://www.openeyesinstitute.org/ ; formele beoordeling/examinering niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,"Onderzoeksjournalistiek-academy; redactionele begeleiding op geschreven werk, formele beoordeling onduidelijk"
Van Campen Consulting,Onbekend,"Zorgopleider (medische basiskennis, triagegesprekken) met eigen ""Triagediploma"" a 1.350 euro — https://vancampenconsulting.nl ; duur en beoordelaar niet gedocumenteerd (vgl. Auxilio-triagist = Ja)",Ja,NRTO-lid,Zelfstandig,Triage/bedrijfsgezondheidszorg-opleider; beoordelaar niet vindbaar
Bedrijfskunde Opleiding Utrecht (BKOU),Ja,"Post-hbo bedrijfskunde (CPION): ""Het adviesrapport wordt voorafgaand aan het eindassessment door twee assessoren beoordeeld"" en het eindassessment is ""vergelijkbaar met een afstudeerpresentatie op hbo- of universitair niveau""; de examencommissie van Business School Nederland toetst het niveau — https://bedrijfskundeopleidingutrecht.nl/praktische-informatie/niveau-van-de-opleiding/",Ja,"CPION-registeropleidingen (SPHBO), particulier",Zelfstandig,"Post-hbo bedrijfskunde (5 varianten, o.a. Bedrijfskunde in de Zorg, Technische Bedrijfskunde); adviesrapport met twee assessoren"
Onderwijs Maak Je Samen,Onbekend,Onderwijsadviesbureau met academie: 9 CPION-registeropleidingen (o.a. Intern begeleider als kwaliteitscoordinator) — https://www.onderwijsmaakjesamen.nl/ + CPION-register; wie de eindopdrachten beoordeelt is niet gedocumenteerd,Ja,"CPION-registeropleidingen (SPHBO), particulier adviesbureau",Zelfstandig,Onderwijsadviesbureau met post-hbo registeropleidingen po/vo; deel van een bredere ader (zie WERKVOORRAAD: CPION-oogst onderwijsadviesbureaus)
Vereniging voor Credit Management (VVCM),Onbekend,"Drie eigen CPION-geaccrediteerde leergangen (Certified Credit Controller/Practitioner/Manager, hbo-niveau, modulair) — https://verenigingvoorcreditmanagement.nl/opleidingen/certified-credit-controller/ ; beroepsvereniging met eigen opleiding (koepel-nuance 2026-08-07 van toepassing), beoordelaar niet gedocumenteerd",Ja,CPION-registeropleidingen; beroepsvereniging met eigen beroepsopleiding,Zelfstandig,"Credit management leergangen; NOB/RB-achtig model, beoordelaar verifieren"
Stichting Evangelisch College,Onbekend,"Meerjarige deeltijdopleidingen Theologie, Bijbel & Exegese, Pastoraal Werk, Missionair Werk, Jongerenwerk — https://www.evangelisch-college.nl/ ; tentamens/scripties aannemelijk (vgl. Tyndale = Ja) maar beoordelaar niet gedocumenteerd",Ja,CPION-vermelding; particuliere stichting,Zelfstandig,Deeltijd theologie-opleider; beoordelaar verifieren
